,2001,Registered Electors,3359433,,
,2001,Total Votes,2535773,75.5,
,2001,Rejected Votes,13956,0.6,
,2001,Valid Votes,2521820,99.4,
,2001,Labour Party,612632,24.3,43
,2001,Conservative Party (H&oslash;yre),534852,21.2,38
,2001,Progress Party,369236,14.6,26
,2001,Socialist Left Party,316397,12.5,23
,2001,Christian Democratic Party (Kristelig Folkeparti),312839,12.4,22
,2001,Center Party,140287,5.6,10
,2001,Liberal Party (Venstre),98486,3.9,2
,2001,Coast Party,44010,1.7,1
,2001,Red Electoral Alliance,30015,1.2,0
,2001,Others,63066,2.5,0
01,2001,Registered Electors,191485,,
01,2001,Total Votes,141769,74.0,
01,2001,Rejected Votes,1040,0.7,
01,2001,Valid Votes,140729,99.3,
01,2001,Labour Party,39191,27.8,2
01,2001,Conservative Party (H&oslash;yre),27514,19.6,2
01,2001,Progress Party,24086,17.1,2
01,2001,Christian Democratic Party (Kristelig Folkeparti),17790,12.6,1
01,2001,Socialist Left Party,16023,11.4,1
01,2001,Center Party,6689,4.8,0
01,2001,Liberal Party (Venstre),3501,2.5,0
01,2001,Coast Party,822,0.6,0
01,2001,Red Electoral Alliance,776,0.6,0
01,2001,Others,4337,3.1,0
02,2001,Registered Electors,343896,,
02,2001,Total Votes,271960,79.1,
02,2001,Rejected Votes,2006,0.7,
02,2001,Valid Votes,269954,99.3,
02,2001,Conservative Party (H&oslash;yre),85618,31.7,5
02,2001,Labour Party,63643,23.6,3
02,2001,Progress Party,38830,14.4,3
02,2001,Socialist Left Party,33168,12.3,2
02,2001,Christian Democratic Party (Kristelig Folkeparti),21446,7.9,1
02,2001,Center Party,8747,3.2,1
02,2001,Liberal Party (Venstre),10855,4.0,0
02,2001,Red Electoral Alliance,1902,0.7,0
02,2001,Coast Party,1373,0.5,0
02,2001,Others,4372,1.6,0
03,2001,Registered Electors,382354,,
03,2001,Total Votes,290374,75.9,
03,2001,Rejected Votes,1414,0.5,
03,2001,Valid Votes,288960,99.5,
03,2001,Conservative Party (H&oslash;yre),83979,29.1,5
03,2001,Labour Party,64768,22.4,4
03,2001,Socialist Left Party,48800,16.9,3
03,2001,Progress Party,37564,13.0,2
03,2001,Christian Democratic Party (Kristelig Folkeparti),17536,6.1,1
03,2001,Liberal Party (Venstre),17139,5.9,1
03,2001,Red Electoral Alliance,8574,3.0,0
03,2001,Center Party,1988,0.7,0
03,2001,Coast Party,902,0.3,0
03,2001,Others,7710,2.7,0
04,2001,Registered Electors,145193,,
04,2001,Total Votes,107538,74.1,
04,2001,Rejected Votes,857,0.8,
04,2001,Valid Votes,106681,99.2,
04,2001,Labour Party,40125,37.6,3
04,2001,Socialist Left Party,14567,13.7,1
04,2001,Conservative Party (H&oslash;yre),13522,12.7,1
04,2001,Progress Party,11814,11.1,1
04,2001,Center Party,9660,9.1,1
04,2001,Christian Democratic Party (Kristelig Folkeparti),8259,7.7,1
04,2001,Liberal Party (Venstre),2255,2.1,0
04,2001,Coast Party,833,0.8,0
04,2001,Red Electoral Alliance,405,0.4,0
04,2001,Others,5241,4.9,0
05,2001,Registered Electors,141658,,
05,2001,Total Votes,104718,73.9,
05,2001,Rejected Votes,683,0.7,
05,2001,Valid Votes,104035,99.3,
05,2001,Labour Party,37903,36.4,3
05,2001,Conservative Party (H&oslash;yre),13245,12.7,1
05,2001,Center Party,12604,12.1,1
05,2001,Socialist Left Party,11613,11.2,1
05,2001,Progress Party,11189,10.8,1
05,2001,Christian Democratic Party (Kristelig Folkeparti),10418,10.0,0
05,2001,Liberal Party (Venstre),3445,3.3,0
05,2001,Red Electoral Alliance,514,0.5,0
05,2001,Others,3104,3.0,0
06,2001,Registered Electors,179912,,
06,2001,Total Votes,135265,75.2,
06,2001,Rejected Votes,1047,0.8,
06,2001,Valid Votes,134218,99.2,
06,2001,Labour Party,36870,27.5,2
06,2001,Conservative Party (H&oslash;yre),32975,24.6,2
06,2001,Progress Party,21773,16.2,1
06,2001,Socialist Left Party,15581,11.6,1
06,2001,Christian Democratic Party (Kristelig Folkeparti),12072,9.0,1
06,2001,Center Party,7519,5.6,0
06,2001,Liberal Party (Venstre),3551,2.6,0
06,2001,Coast Party,837,0.6,0
06,2001,Red Electoral Alliance,699,0.5,0
06,2001,Others,2341,1.7,0
07,2001,Registered Electors,162464,,
07,2001,Total Votes,124472,76.6,
07,2001,Rejected Votes,666,0.5,
07,2001,Valid Votes,123806,99.5,
07,2001,Conservative Party (H&oslash;yre),31524,25.5,2
07,2001,Labour Party,26763,21.6,2
07,2001,Progress Party,23122,18.7,2
07,2001,Socialist Left Party,14308,11.6,1
07,2001,Christian Democratic Party (Kristelig Folkeparti),13612,11.0,1
07,2001,Center Party,4112,3.3,0
07,2001,Liberal Party (Venstre),3507,2.8,0
07,2001,Coast Party,703,0.6,0
07,2001,Red Electoral Alliance,683,0.6,0
07,2001,Others,5472,4.4,0
08,2001,Registered Electors,125774,,
08,2001,Total Votes,92626,73.6,
08,2001,Rejected Votes,489,0.5,
08,2001,Valid Votes,92137,99.5,
08,2001,Labour Party,27039,29.3,2
08,2001,Progress Party,16305,17.7,1
08,2001,Conservative Party (H&oslash;yre),13449,14.6,1
08,2001,Socialist Left Party,13335,14.5,1
08,2001,Christian Democratic Party (Kristelig Folkeparti),12116,13.1,1
08,2001,Center Party,4476,4.9,0
08,2001,Liberal Party (Venstre),2598,2.8,0
08,2001,Red Electoral Alliance,675,0.7,0
08,2001,Coast Party,515,0.6,0
08,2001,Others,1629,1.8,0
09,2001,Registered Electors,76436,,
09,2001,Total Votes,56233,73.6,
09,2001,Rejected Votes,259,0.5,
09,2001,Valid Votes,55974,99.5,
09,2001,Conservative Party (H&oslash;yre),11724,20.9,1
09,2001,Christian Democratic Party (Kristelig Folkeparti),11459,20.5,1
09,2001,Labour Party,11083,19.8,1
09,2001,Progress Party,9273,16.6,1
09,2001,Socialist Left Party,6215,11.1,0
09,2001,Center Party,2340,4.2,0
09,2001,Liberal Party (Venstre),2188,3.9,0
09,2001,Coast Party,380,0.7,0
09,2001,Red Electoral Alliance,255,0.5,0
09,2001,Others,1057,1.9,0
10,2001,Registered Electors,113967,,
10,2001,Total Votes,85800,75.3,
10,2001,Rejected Votes,323,0.4,
10,2001,Valid Votes,85477,99.6,
10,2001,Christian Democratic Party (Kristelig Folkeparti),22372,26.2,2
10,2001,Conservative Party (H&oslash;yre),19813,23.2,2
10,2001,Labour Party,14303,16.7,1
10,2001,Progress Party,9173,10.7,0
10,2001,Socialist Left Party,8924,10.4,0
10,2001,Center Party,3097,3.6,0
10,2001,Liberal Party (Venstre),3001,3.5,0
10,2001,Coast Party,682,0.8,0
10,2001,Red Electoral Alliance,329,0.4,0
10,2001,Others,3783,4.4,0
11,2001,Registered Electors,269371,,
11,2001,Total Votes,207605,77.1,
11,2001,Rejected Votes,670,0.3,
11,2001,Valid Votes,206935,99.7,
11,2001,Conservative Party (H&oslash;yre),46918,22.7,3
11,2001,Christian Democratic Party (Kristelig Folkeparti),39294,19.0,2
11,2001,Progress Party,37650,18.2,2
11,2001,Labour Party,36857,17.8,2
11,2001,Socialist Left Party,18187,8.8,1
11,2001,Center Party,10516,5.1,1
11,2001,Liberal Party (Venstre),9900,4.8,0
11,2001,Coast Party,2285,1.1,0
11,2001,Red Electoral Alliance,1179,0.6,0
11,2001,Others,4149,2.0,0
12,2001,Registered Electors,324690,,
12,2001,Total Votes,252693,77.8,
12,2001,Rejected Votes,1214,0.5,
12,2001,Valid Votes,251479,99.5,
12,2001,Conservative Party (H&oslash;yre),54504,21.7,4
12,2001,Labour Party,49390,19.6,3
12,2001,Progress Party,41582,16.5,3
12,2001,Christian Democratic Party (Kristelig Folkeparti),39333,15.6,3
12,2001,Socialist Left Party,27051,10.8,2
12,2001,Liberal Party (Venstre),11838,4.7,1
12,2001,Center Party,9701,3.9,1
12,2001,Red Electoral Alliance,9246,3.7,0
12,2001,Coast Party,3108,1.2,0
12,2001,Others,5726,2.3,0
14,2001,Registered Electors,79374,,
14,2001,Total Votes,60218,75.9,
14,2001,Rejected Votes,267,0.4,
14,2001,Valid Votes,59951,99.6,
14,2001,Labour Party,13453,22.4,1
14,2001,Center Party,10615,17.7,1
14,2001,Christian Democratic Party (Kristelig Folkeparti),9743,16.3,1
14,2001,Conservative Party (H&oslash;yre),7660,12.8,1
14,2001,Socialist Left Party,7055,11.8,1
14,2001,Progress Party,5989,10.0,0
14,2001,Liberal Party (Venstre),3230,5.4,0
14,2001,Coast Party,1249,2.1,0
14,2001,Red Electoral Alliance,249,0.4,0
14,2001,Others,708,1.2,0
15,2001,Registered Electors,182758,,
15,2001,Total Votes,136174,74.5,
15,2001,Rejected Votes,636,0.5,
15,2001,Valid Votes,135538,99.5,
15,2001,Christian Democratic Party (Kristelig Folkeparti),26850,19.8,2
15,2001,Labour Party,26473,19.5,2
15,2001,Conservative Party (H&oslash;yre),23397,17.3,2
15,2001,Progress Party,23378,17.2,2
15,2001,Socialist Left Party,11870,8.8,1
15,2001,Center Party,8892,6.6,1
15,2001,Liberal Party (Venstre),8749,6.5,0
15,2001,Coast Party,2291,1.7,0
15,2001,Red Electoral Alliance,573,0.4,0
15,2001,Others,3065,2.3,0
16,2001,Registered Electors,199189,,
16,2001,Total Votes,149415,75.0,
16,2001,Rejected Votes,816,0.5,
16,2001,Valid Votes,148599,99.5,
16,2001,Labour Party,42899,28.9,3
16,2001,Conservative Party (H&oslash;yre),26418,17.8,2
16,2001,Socialist Left Party,23027,15.5,2
16,2001,Progress Party,17637,11.9,1
16,2001,Christian Democratic Party (Kristelig Folkeparti),14710,9.9,1
16,2001,Center Party,10243,6.9,1
16,2001,Liberal Party (Venstre),4972,3.3,0
16,2001,Coast Party,2152,1.4,0
16,2001,Red Electoral Alliance,1604,1.1,0
16,2001,Others,4937,3.3,0
17,2001,Registered Electors,95390,,
17,2001,Total Votes,70522,73.9,
17,2001,Rejected Votes,418,0.6,
17,2001,Valid Votes,70104,99.4,
17,2001,Labour Party,22704,32.4,2
17,2001,Center Party,10877,15.5,1
17,2001,Socialist Left Party,9672,13.8,1
17,2001,Progress Party,7457,10.6,1
17,2001,Christian Democratic Party (Kristelig Folkeparti),7259,10.4,1
17,2001,Conservative Party (H&oslash;yre),7188,10.3,0
17,2001,Liberal Party (Venstre),2399,3.4,0
17,2001,Coast Party,1355,1.9,0
17,2001,Red Electoral Alliance,296,0.4,0
17,2001,Others,897,1.3,0
18,2001,Registered Electors,178977,,
18,2001,Total Votes,129492,72.4,
18,2001,Rejected Votes,412,0.3,
18,2001,Valid Votes,129080,99.7,
18,2001,Labour Party,31283,24.2,3
18,2001,Socialist Left Party,18188,14.1,2
18,2001,Progress Party,17104,13.3,2
18,2001,Conservative Party (H&oslash;yre),16862,13.1,2
18,2001,Christian Democratic Party (Kristelig Folkeparti),14316,11.1,1
18,2001,Coast Party,14042,10.9,1
18,2001,Center Party,11363,8.8,1
18,2001,Liberal Party (Venstre),2822,2.2,0
18,2001,Red Electoral Alliance,1098,0.9,0
18,2001,Others,2002,1.6,0
19,2001,Registered Electors,113043,,
19,2001,Total Votes,81774,72.3,
19,2001,Rejected Votes,468,0.6,
19,2001,Valid Votes,81306,99.4,
19,2001,Labour Party,18008,22.1,2
19,2001,Conservative Party (H&oslash;yre),12739,15.7,1
19,2001,Socialist Left Party,12007,14.8,1
19,2001,Progress Party,11442,14.1,1
19,2001,Christian Democratic Party (Kristelig Folkeparti),9925,12.2,1
19,2001,Coast Party,8124,10.0,0
19,2001,Center Party,5266,6.5,0
19,2001,Liberal Party (Venstre),1915,2.4,0
19,2001,Red Electoral Alliance,656,0.8,0
19,2001,Others,1224,1.5,0
20,2001,Registered Electors,53502,,
20,2001,Total Votes,37125,69.4,
20,2001,Rejected Votes,271,0.7,
20,2001,Valid Votes,36857,99.3,
20,2001,Labour Party,9877,26.8,2
20,2001,Socialist Left Party,6806,18.5,1
20,2001,Conservative Party (H&oslash;yre),5803,15.7,1
20,2001,Christian Democratic Party (Kristelig Folkeparti),4329,11.7,0
20,2001,Progress Party,3868,10.5,0
20,2001,Coast Party,2357,6.4,0
20,2001,Center Party,1582,4.3,0
20,2001,Liberal Party (Venstre),621,1.7,0
20,2001,Red Electoral Alliance,302,0.8,0
20,2001,Others,1312,3.6,0